invoice_id,branch,city,customer,gender,product_line,price,quantity,tax,total,date,time,payment,cogs,gross income,rating
750-67-8428,A,678549,Member,Female,234,74.69,7,26.1415,548.9715,05/01/19,13:08,Ewallet,522.83,26.1415,9
226-31-3081,C,754331,Normal,Female,435,15.28,5,3.82,80.22,08/03/19,10:29,Cash,76.4,3.82,10
631-41-3108,A,678549,Normal,Male,413,46.33,7,16.2155,340.5255,03/03/19,13:23,Credit card,324.31,16.2155,7
123-19-1176,A,678549,Member,Male,234,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,23.288,8
373-73-7910,A,678549,Normal,Male,437,86.31,7,30.2085,634.3785,08/02/19,10:37,Ewallet,604.17,30.2085,5
699-14-3026,C,754331,Normal,Male,435,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,29.8865,4
355-53-5943,A,678549,Member,Female,435,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,20.652,6
315-22-5665,C,754331,Normal,Female,413,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,36.78,8
665-32-9167,A,678549,Member,Female,234,36.26,2,3.626,76.146,10/01/19,17:15,Credit card,72.52,3.626,7
692-92-5582,B,543212,Member,Female,532,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,8.226,6
351-62-0822,B,543212,Member,Female,253,14.48,4,2.896,60.816,06/02/19,18:07,Ewallet,57.92,2.896,5
529-56-3974,B,543212,Member,Male,435,25.51,4,5.102,107.142,09/03/19,17:03,Cash,102.04,5.102,7
365-64-0515,A,678549,Normal,Female,435,46.95,5,11.7375,246.4875,12/02/19,10:25,Ewallet,234.75,11.7375,7
252-56-2699,A,678549,Normal,Male,532,43.19,10,21.595,453.495,07/02/19,16:48,Ewallet,431.9,21.595,8
829-34-3910,A,678549,Normal,Female,234,71.38,10,35.69,749.49,03/29/2019,19:21,Cash,713.8,35.69,6
299-46-1805,B,543212,Member,Female,437,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,562.32,28.116,5
656-95-9349,A,678549,Member,Female,234,68.93,7,24.1255,506.6355,11/03/19,11:03,Credit card,482.51,24.1255,5
765-26-6951,A,678549,Normal,Male,437,72.61,6,21.783,457.443,01/01/19,10:39,Credit card,435.66,21.783,7
329-62-1586,A,678549,Normal,Male,532,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,8.2005,9
319-50-3348,B,543212,Normal,Female,413,40.3,2,4.03,84.63,11/03/19,15:30,Ewallet,80.6,4.03,4
300-71-4605,C,754331,Member,Male,435,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,21.51,5
371-85-5789,B,543212,Normal,Male,234,87.98,3,13.197,277.137,05/03/19,10:40,Ewallet,263.94,13.197,5
273-16-6619,B,543212,Normal,Male,413,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,3.32,4
636-48-8204,A,678549,Normal,Male,435,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,8.64,10
549-59-1358,A,678549,Member,Male,437,88.63,3,13.2945,279.1845,02/03/19,17:36,Ewallet,265.89,13.2945,6
227-03-5010,A,678549,Member,Female,413,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,420.72,21.036,9
649-29-6775,B,543212,Normal,Male,253,33.52,1,1.676,35.196,08/02/19,15:31,Cash,33.52,1.676,7
189-17-4241,A,678549,Normal,Female,253,87.67,2,8.767,184.107,10/03/19,12:17,Credit card,175.34,8.767,8
145-94-9061,B,543212,Normal,Female,532,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,22.09,10
848-62-7243,A,678549,Normal,Male,234,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,11.2005,7
871-79-8483,B,543212,Normal,Male,253,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,23.5325,5
149-71-6266,B,543212,Member,Male,437,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,35.1315,5
640-49-2076,B,543212,Normal,Male,437,83.78,8,33.512,703.752,10/01/19,14:49,Cash,670.24,33.512,5
